"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Handlebars", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 1, 26
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\README.md", "Markdown", 0, 0, 0, 0, 61, 0, 2, 26, 89
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\nest-cli.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\orm.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 3, 18
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package-lock.json", "JSON", 13387, 0, 0, 0, 0, 0, 0, 1, 13388
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package.json", "JSON", 89, 0, 0, 0, 0, 0, 6, 0, 95
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.module.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 2, 53
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.controller.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 8, 56
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.guard.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 7, 39
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.module.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 2, 24
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.ts", "TypeScript", 0, 126, 0, 0, 0, 0, 0, 32, 158
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\constants\jwt.constant.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\login.dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
