"filename", "language", "TypeScript", "JSON", "Docker", "Ignore", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\.dockerignore", "Ignore", 0, 0, 0, 2, 0, 1, 3
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\Dockerfile", "Docker", 0, 0, 8, 0, 0, 7, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package-lock.json", "JSON", 0, 426, 0, 0, 0, 0, 426
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package.json", "JSON", 0, 5, 0, 0, 0, 0, 5
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.module.ts", "TypeScript", 13, 0, 0, 0, 3, 0, 16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.module.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.ts", "TypeScript", -13, 0, 0, 0, 0, -3, -16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\register.dto.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.controller.ts", "TypeScript", 25, 0, 0, 0, 0, 7, 32
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.module.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 11
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.service.ts", "TypeScript", 79, 0, 0, 0, 5, 17, 101
