"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Handlebars", "Docker", "Markdown", "Ignore", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 26
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 0, 0, 7, 15
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\README.md", "Markdown", 0, 0, 0, 0, 0, 61, 0, 0, 2, 26, 89
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\nest-cli.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\orm.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package-lock.json", "JSON", 0, 0, 13813, 0, 0, 0, 0, 0, 0, 1, 13814
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\package.json", "JSON", 0, 0, 94, 0, 0, 0, 0, 0, 6, 0, 100
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.module.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 3, 2, 69
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.controller.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.controller.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.guard.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\auth.service.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 29, 142
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\constants\jwt.constant.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\login.dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\register.dto.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\update-profile.dto.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 30
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\auth\dto\verify-email.dto.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.controller.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\aws\aws.service.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 5, 17, 101
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\chat-gpt-ai.controller.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\chat-gpt-ai.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\chat-gpt-ai.service.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 2, 12, 62
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat-gpt-ai\model\get-ai-model-answe.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.controller.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.gateway.spec.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.gateway.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 59, 36, 174
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\chat\chat.service.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 0, 0, 14, 20, 140
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\configuration.controller.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 27, 3, 104
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\configuration.module.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\configuration.service.ts", "TypeScript", 0, 397, 0, 0, 0, 0, 0, 0, 27, 55, 479
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-inappropriate-content-user.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-interest-user.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-language-nacionality.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-language-user.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-language.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-mattern-language-user.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-user.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\update-language-nacionality.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\update-language-user.dto.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\inappropriate_content_user.entity.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\interest_user.entity.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\language_user.entity.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 9, 34
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\contact.controller.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\contact.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\contact.service.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 0, 5, 31, 119
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\dto\create-contact.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\contact\dto\update-contact.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
